EPIC,Task,Description,Hour

"Flutter"

"Project Configuration"
,"Set up project structure and tools","","8"
,"Prepare design assets for development","","16"

"Database Design"
,"Database scheme design","","32"
,"Database implementation","","32"
,"Data caching","","32"

"CMS Pages"
,"Load CMS pages within the app using in-app browser","","4"
,"Show key pages like Terms & Conditions and Privacy Policy","Terms & Conditions and Privacy Policy","2"
,"Configure settings for individual CMS pages","","2"

"Location"
,"Request and manage location permissions","","12"
,"Enable continuous background location tracking","","32"
,"Show location suggestions","Using google places SDK","12"
,"Access current GPS location of the device","","8"

"Onboarding"
,"Splash Screen","","4"
,"Landing screen","","6"
,"Main menu for easy navigation within the app","","4"
,"Onboarding","","16"

"Authentication"
,"Signup with Eamil","","8"
,"Signup with Apple ID","","8"
,"Signup with Google","","4"
,"Login with email","","4"
,"Login with Apple ID","","6"
,"Login with Google","","4"
,"Reset password","","4"
,"Forgot password","","4"
,"OTP verification","","8"
,"Resend OTP","","4"
,"Mobile verfication","","8"
,"Email verification","","6"
,"Manage app features depending on the user’s role","Videographer/Photographer vs Bride/Groom user types","6"

"Profile Setup"
,"Setup user profile","","8"
,"Setup relevant verification document","rapid ID","24"
,"Setup preference details","personalised questionnaire","16"

"In-App Subscription"
,"Subscription detail","","12"
,"In app subscription verification","","24"
,"Restore purchase","","16"

"My Profile"
,"View profile","","8"
,"Update profile","with pictures, email, mobile number","4"
,"Settings","notification/privacy","8"
,"Update email","","4"
,"Update mobile number","","4"
,"Change password","","4"
,"Logout","","2"
,"Delete account","","6"
,"View/Update Preference","","8"

"Email Notification"
,"Sending email notifications","","8"

"Notification"
,"Display in-app notification list","","8"
,"Manage read/unread status of notifications","","8"
,"Route users based on notification type","","8"
,"Set up push notifications","","8"
,"Handle receiving and sending push notifications","","8"

"Elastic Search"
,"setup elastic search","","4"
,"fetch result from elastic search","","6"
,"Index search item","","6"

"Personalised Content Feed -  Bride/Groom"
,"Display Feed","Pinterest-style Masonry Grid Layout","24"
,"Image Caching & Optimization","","12"
,"Search/Filter  feed","","6"

"Map & Locations"
,"Google Maps SDK Integration","","8"
,"Custom Map Markers & Clustering","","12"
,"Search by Map Area (Geospatial Query)","","8"
,"Venue Details BottomSheet UI","","8"
,"Directions & External Map Linking","","4"

"Community Interaction - Bride/Groom"
,"Post Questions","","8"
,"Edit Questions","","6"
,"Delete Questions","","4"
,"Report Questions","","4"
,"View Questions","","6"
,"Add suggestion/comments","","8"
,"Like comments","","4"
,"Reply comment","","6"

"Search & Filter Functionality - Bride/Groom"
,"Search and filter","through wedding venues, photo spots, and locations","6"
,"Search result","","8"

"Save Inspirations - Bride/Groom"
,"Save photos","","4"
,"List Saved photos","","8"
,"Remove saved photos","","4"
,"Create bookmarks","","6"
,"Edit bookmarks","","4"
,"List bookmarks","","4"
,"Remove bookmarks","","2"

"Chat Integrations - Bride/Groom"
,"Set up chat system and connect users","","24"
,"Manage chat data and storage","","24"
,"Manage user contact info in chat (vCards)","","24"
,"Chat authentication","","16"
,"General chat setup","","24"
,"Send and receive private messages","text and images","32"
,"View list of conversations","","24"
,"Save old messages (archive)","","16"
,"Access archived messages","","24"
,"Start new conversations","","8"

"Share Inspirations - Bride/Groom"
,"Share inspiration","","8"
,"send inspiration in chat","","8"
,"Generate shareable link","use branch.io","16"

"Chat History - Bride/Groom"
,"List all chat history","","16"
,"Continue from chat history","","8"
,"Remove chat history","","6"

"Create & Export Wedding Day Timeline - Bride/Groom"
,"create a timeline","","24"
,"Edit timeline","","12"
,"Delete timeline","","4"
,"View timeline","","14"
,"Add saved photos or venues","","16"
,"Exported to PDF","","4"
,"Share as a link","","12"

"Profile Creation - Photographer/Videographer"
,"Bio and background information","","8"
,"Gallery of photos","","12"
,"Rate card","","8"

"Portfolio Uploads - Photographer/Videographer"
,"Upload photos and videos","","24"
,"tag photos with location data","","8"
,"View Portfolio photo and videos","","24"
,"Photo permissions","","8"
,"Remove Photo and videos","","4"

"Photo Engagement Analytics - Photographer/Videographer"
,"Track likes, comments, and shares on uploaded photos.","","16"
,"View tracked data report","","24"

"Lead Generation - Photographer/Videographer"
,"Verified professional list","","8"
,"Request/Contact for enquiries","","8"
,"Mark as verified","","4"
,"Submit details for verification","","4"

"Profile Updates - Photographer/Videographer"
,"View portfolios","","16"
,"Edit Portfolios","","8"
,"View Reviews","","8"
,"Responds to reviews","","8"
,"Report to reviews","","6"

"Profile Creation - Venue"
,"Gallery of available photo spots","","14"
,"Venue name, description, and services","","6"
,"Contact details","","4"
,"Pricing details","","4"

"Photo and Location Tagging - Venue"
,"Add tag specific locations within the venue","","8"
,"Edit Tag","","6"
,"Remove Tag","","4"
,"List photo based on tag","","8"

"Promotions & Special Offers - Venue"
,"Create promotions post","","8"
,"Edit promotion post","","6"
,"Delete promotion post","","4"
,"List promotion posts","","6"
,"Add venue adverstiments","","8"

"Analytics Dashboard - Venue"
,"View analytics dashboard","","32"
,"Filter analytics dashboard","","8"
,"Export report data","","6"
,"Track user interaction to venue profile","","24"

"Report User and Contents"
,"Admin can view and manage all reports in one place","","6"
,"Admin can disable or suspend users based on report investigations","","6"

"Transactions (subscription)"
,"View full transaction history","","12"
,"See detailed information for each transaction","","8"
,"Filter or search transactions by date, type, or keyword","","6"
,"Download transaction records as PDF files","","8"

"Reporting & Analytics"
,"Integrate analytics tools","","8"
,"Track user activities and engagements","","32"


"API"

"Project Configuration"
,"Set up project structure and tools","","8"

"Database Design"
,"Database scheme design","","40"

"CMS Pages"
,"Show key pages like Terms & Conditions and Privacy Policy","Terms & Conditions and Privacy Policy","6"
,"Configure settings for individual CMS pages","","8"

"Location"
,"Request and manage location permissions","","6"
,"Track and update user’s location in real-time","","10"
,"Show location suggestions","Using google places SDK","12"
,"Access current GPS location of the device","","6"

"Authentication"
,"Signup with Eamil","","8"
,"Signup with Apple ID","","8"
,"Signup with Google","","4"
,"Login with email","","4"
,"Login with Apple ID","","6"
,"Login with Google","","4"
,"Reset password","","4"
,"Forgot password","","4"
,"OTP verification","","8"
,"Resend OTP","","4"
,"Mobile verfication","","8"
,"Email verification","","6"
,"Manage app features depending on the user’s role","Videographer/Photographer vs Bride/Groom user types","16"

"Profile Setup"
,"Setup user profile","","8"
,"Setup preference details","personalised questionnaire","8"

"In-App Subscription"
,"Subscription detail","","8"
,"Cancel subscription","","16"

"My Profile"
,"View profile","","8"
,"Update profile","with pictures, email, mobile number","8"
,"Settings","notification/privacy","6"
,"Update email","","4"
,"Update mobile number","","6"
,"Change password","","4"
,"Logout","","2"
,"Delete account","","6"
,"View/Update Preference","","6"

"Email Notification"
,"Set up email notifications","","12"
,"Sending email notifications","","20"
,"Manage email template","Create, Edit, View, Delete","16"
,"Email Automation from admin","","24"

"Notification"
,"Display in-app notification list","","8"
,"Manage read/unread status of notifications","","8"
,"Route users based on notification type","","8"
,"Set up push notifications","","8"
,"Handle receiving and sending push notifications","","16"
,"Send push notification from admin","","24"

"Elastic Search"
,"setup elastic search","","16"
,"fetch result from elastic search","","40"
,"Index search item","","32"

"Admin Dashboard"
,"View basic statistics and key information","Basic stats, graphs","16"

"Admin User Management"
,"Listing","","6"
,"Add/edit","","8"
,"Delete","","4"
,"Manage permission","","8"

"App User Management"
,"Listing","","6"
,"Add/edit","","8"
,"View details","user profiles, photographer profiles, venue listings","24"
,"Delete","","4"
,"Search and filter","","12"
,"Approve or Reject profiles","","4"

"Personalised Content Feed -  Bride/Groom"
,"Display Feed","Pinterest-style Masonry Grid Layout","14"
,"Search/Filter  feed","","8"
,"curated content feed","based on user preferences and saved inspirations from the questionnaire.","24"

"Map & Locations"
,"Google Maps SDK Integration","","2"
,"Search by Map Area (Geospatial Query)","","12"
,"Venue Details BottomSheet UI","","4"

"Community Interaction - Bride/Groom"
,"Post Questions","","8"
,"Edit Questions","","6"
,"Delete Questions","","4"
,"Report Questions","","4"
,"View Questions","","6"
,"Add suggestion/comments","","4"
,"Like comments","","4"
,"Reply comment","","4"

"Search & Filter Functionality - Bride/Groom"
,"Search and filter","through wedding venues, photo spots, and locations","32"
,"Search result","","8"

"Save Inspirations - Bride/Groom"
,"Save photos","","4"
,"List Saved photos","","6"
,"Remove saved photos","","4"
,"Create bookmarks","","4"
,"Edit bookmarks","","2"
,"List bookmarks","","4"
,"Remove bookmarks","","2"

"Chat Integrations - Bride/Groom"
,"Set up chat system and connect users","","8"
,"Block unblock user","","8"
,"General chat setup","","8"
,"Create chat token","","4"
,"Webhook setup","","16"
,"Push notification sending","","20"

"Share Inspirations - Bride/Groom"
,"Share inspiration","","4"
,"send inspiration in chat","","8"
,"Generate shareable link","use branch.io","14"

"Chat History - Bride/Groom"
,"Add/update conversation to history collection for chat session","","24"
,"Remove chat history","","6"

"Create & Export Wedding Day Timeline - Bride/Groom"
,"create a timeline","","12"
,"Edit timeline","","8"
,"Delete timeline","","4"
,"View timeline","","8"
,"Add saved photos or venues","","12"
,"Exported to PDF","","16"
,"Share as a link","","8"

"Profile Creation - Photographer/Videographer"
,"Bio and background information","","8"
,"Gallery of photos","","8"
,"Rate card","","8"

"Portfolio Uploads - Photographer/Videographer"
,"Upload photos and videos","","16"
,"tag photos with location data","","8"
,"View Portfolio photo and videos","","16"
,"Photo permissions","","6"
,"Remove Photo and videos","","4"

"Photo Engagement Analytics - Photographer/Videographer"
,"Track likes, comments, and shares on uploaded photos.","","16"
,"View tracked data report","","16"

"Lead Generation - Photographer/Videographer"
,"Verified professional list","","8"
,"Request/Contact for enquiries","","8"
,"Mark as verified","","4"
,"Submit details for verification","","4"

"Profile Updates - Photographer/Videographer"
,"View portfolios","","12"
,"Edit Portfolios","","8"
,"View Reviews","","8"
,"Responds to reviews","","6"
,"Report to reviews","","6"

"Profile Creation - Venue"
,"Gallery of available photo spots","","8"
,"Venue name, description, and services","","4"
,"Contact details","","4"
,"Pricing details","","4"

"Photo and Location Tagging - Venue"
,"Add tag specific locations within the venue","","8"
,"Edit Tag","","4"
,"Remove Tag","","4"
,"List photo based on tag","","6"

"Promotions & Special Offers - Venue"
,"Create promotions post","","8"
,"Edit promotion post","","4"
,"Delete promotion post","","4"
,"List promotion posts","","6"
,"Add venue adverstiments","","6"

"Analytics Dashboard - Venue"
,"View analytics dashboard","","24"
,"Filter analytics dashboard","","8"
,"Export report data","","16"
,"Track user interaction to venue profile","","16"

"Report User and Contents"
,"Admin can view and manage all reports in one place","","4"
,"Admin can disable or suspend users based on report investigations","","4"

"Transactions (subscription)"
,"View full transaction history","","12"
,"See detailed information for each transaction","","6"
,"Filter or search transactions by date, type, or keyword","","6"
,"Download transaction records as PDF files","","16"

"Reporting & Analytics"
,"Integrate analytics tools","","8"
,"Track user activities and engagements","","8"
,"View reports","","8"

"Deployment"
,"Deployment","","8"


"CMS"

"Project Configuration"
,"Set up project structure and tools","","4"

"CMS Pages"
,"Manage and update pages from the admin panel","","12"

"Authentication"
,"Login with email","","6"
,"Reset password","","4"
,"Forgot password","","4"

"In-App Subscription"
,"Setup and Integrate monthly/yearly subscription","","24"

"Email Notification"
,"Manage email template","Create, Edit, View, Delete","24"
,"Email Automation from admin","","24"

"Notification"
,"Display in-app notification list","","8"
,"Manage read/unread status of notifications","","4"
,"Set up push notifications","","8"
,"Send push notification from admin","","24"

